19450723000019AA091.4	N194507231945072310389AX	FLSG1H711H71	FLSG1H711H72	FLSG1H711H73	FLSG1H711H74	FLSG1H711H75	FLSG1H711H76	FLSG1H711H77	FLSG1H711H78
19480101000019AA   TT	Y 1948010119480101    9	2L742L74	4R		1900400001	UNKNODOUG  DC4	DC4	A762	WP
19620719021179AA091.4	N196207191962071923459AX	OLSG1L711L71	3O	3OTR	11809302117 Y	5069PPIPER PA24180	PA24	1A15	CE
19711026050009AA091.4	N197110261971102616459AX	FLSG1H711H71	3O	3OCV	17297005000	9881XCESSNA185	185	3A24	CE    1017
19710717999999AA091.4	N1971071719710717    9AX	F   1H711H71	3O	3O	6065499999	8667ZCESSNA206CESSNA	206	A4CE	CE
19481024000009AA091.4	N194810241948102416559AX	DOTH1H711H71	3O	3O  ZL	13393400000	6404MUNIVAR1083	108	A767	NM    50
19730101000139AA   .4	1973010119730101    9	1L721L72	3O		851600013	5728MCESSNAT310R	310	OE2	CESTRD
19730101000259AA   .4	1973010119730101    9	1L711L71	3O		1054500025	7046WPIPER PA28180	PA28	2A13	SOSTRD
19730101000459AA   .4	1973010119730101    9	1G711G71	3O		1486000045	9678FHUGHES269C	269	IS29D2	CESTRD
19730101000719AA   .4	1973010119730101    9	1H711H71	3O		549700071	3802JCESSNAA150K	150	172	A
19730101004699AA   .4	1973010119730101    9	1H711H71	3O		361200469	252T PIPER PA18	PA18	1A2	EASTRD
19720509000009AA091.4	N197205091972050917459AX	F   1L721L72	3O	3O	11581700000	4909PPIPER PA23250	PA23	1A10	EA
19720113000019AA091.4	N197201131972011318159AX	FLSG1L711L71	3O	3O	09419500001 Y	3025RPIPER PA28R200	PA28	2A13	SO    526
19711122070489AA091.4	F197111221971112216359YJ	F   1L721L72	3O	3O	14091907048	700FYPIPER PA23250	PA23	1A10	EA    5183
19730102000039AA   .4	1973010219730102    9	1H711H71	3O		913300003	61178CESSNA150J	150	3A19	CESTRD
19730102000269AA   .4	1973010219730102    9	1L711L71	3O		1501100026	9777MMOONEYM20F	M20	2A3	SWSTRD
19730102000279AA   .4	1973010219730102    9	1H711H71	3O		1052700027	70336PIPER J3C65	J3	A691	EASTRD
19730102000839AA   .4	1973010219730102    9	1L721L72	3O		131800083	12WT CESSNA411	411	A7CE	CESTRD
19730102001009AA   .4	1973010219730102    9	1L711L71	3O		613900100	4218BBEECH F35	35	A777	CESTRD
19730102002269AA   .4	1973010219730102    9	1G711G71	3O		170500226	1420 BELL  47G5	47	2H3	SWREST
19730103000099AA   .4	1973010319730103    9	1L711L71	3O		1452300009	94771UNIVAR415G	415	415C	WESTRD
19730103000169AA   .4	1973010319730103    9	1H711H71	3O	TR	529300016	366P CESSNA182H	182	185B	EAEXPT
19730103000289AA   .4	1973010319730103    9	1G711G71	3O		1117300028	73968BELL  47J2	47	2H1	SWSTRD
19730103000379AA   .4	1973010319730103    9	1L721L72	3O		188400037	153MCPIPER PA31350	PA31	A8EA	SO
19730103000849AA   .4	1973010319730103    9	1H711H71	3O		231100084	1773QCESSNA150L	150	3A19	CESTRD
19730103001119AA   .4	1973010319730103    9	1H711H71	3O		1306600111	8597GCESSNA150F	150	3A19	CESTRD
19730103002279AA   .4	1973010319730103    9	1L711L71	3O		333000227	2334RPIPER PA28R200	PA28	PA31325	P STRD
19730103003689AA   .4	1973010319730103    9	1L721L72	3T		1432800368	936K BEECH 65A90	90	76	GL
19730104000109AA   .4	1973010419730104    9	1L711L71	3O		1094400010	7261FPIPER PA28140	PA28	2A13	SOSTRD
19730104000149AA   .4	1973010419730104    9	1L711L71	3O		699700014	4805SPIPER PA32260	PA32	A3SO	SOSTRD
19730104000179AA   .4	1973010419730104    9	1L711L71	3O		683200017	4684YPIPER PA25235	PA25	2A10	EAREST
19730104000299AA   .4	1973010419730104    9	1H711H71	3O		771400029	5249UCESSNA206CESSNA	206	A4CE	CESTRD
19730104000729AA   .4	1973010419730104    9	1L711L71	3O		1468200072	9570MMOONEYM20D	M20	M20E	M STRD
19730105000049AA   .4	1973010519730105    9				1027900004	6884GAMTR  5071841			STRD
19730105000469AA   .4	1973010519730105    9	1H711H71	3O		1013100046	6777GCESSNA150L	150	3A19	CESTRD
19730105000929AA   .4	1973010519730105    9	1H711H71	3O		1018000092	6811ECESSNA175A	175	3A17	CESTRD
19730105001129AA   .4	1973010519730105    9	1H711H71	3O		1218400112	8026TCESSNA175A	175	180H	EASTRD
19730105001289AA   .4	1973010519730105    9	1L711L71	3O		1517200128	9878WPIPER PA28140	PA28	2A13	SOSTRD
19730106000189AA   .4	1973010619730106    9	1K001K00			1149700018	7609 SCWZERSGS233A	SG2	G2EA	EASTRD
19730106000339AA   .4	1973010619730106    9	1H711H71	3O	TR	487200033	3356RCESSNA182L	182	3A13	CESTRD
									
